address,name,online_order,book_table,rate,votes,location,rest_type,dish_liked,cuisines,approx_cost(for two people),listed_in(type),listed_in(city)
"4/1, Brunton Road, MG Road, Bangalore",Berrylicious Cafe,yes,no,4.1/5,125,MG Road,"Casual Dining, Cafe","Waffles, Sandwiches, Nachos, Burgers, Chicken Keema Pizza, Penne Pasta, Smoothie Bowl","Continental, Cafe, Desserts, Pizza, North Indian, Chinese, Ice Cream",900.0,Desserts,Church Street
"Ground Floor, Adarsh Opus, Campbell Road, Austin town, Richmond Road, Bangalore",Krispy Kreme,yes,no,4.0/5,47,Richmond Road,Dessert Parlor,"Donut, Coffee","Desserts, Beverages",300.0,Desserts,Church Street
"20, Ground Floor, 15/16, House Of Lords, St. Marks Road, Bangalore",Natural Ice Cream,no,no,4.2/5,220,St. Marks Road,Dessert Parlor,"Mango Ice Cream, Tender Coconut Ice Cream, Chips, Chocochip Ice Cream, Waffle Cone","Ice Cream, Desserts",150.0,Desserts,Church Street
"307, Thimmaiah Rd, Govinda Chetty Colony, Shivajinagar, Bangalore",Aubree,yes,no,,0,Shivajinagar,"Cafe, Bakery",Not Specified,"Cafe, Bakery",400.0,Desserts,Church Street
"51, Sultanji Gunta Road, New Bamboo Bazaar Road, Shivajinagar, Bangalore",Robin Brown Ice Cream,yes,no,,0,Shivajinagar,Dessert Parlor,Not Specified,Ice Cream,200.0,Desserts,Church Street
"14, B Wing Mittal Tower, MG Road, Bangalore",Bhaiyaji Food Court,no,no,3.4/5,27,MG Road,Quick Bites,"Paratha, Samosa, Vada Pav","North Indian, Mithai",300.0,Desserts,Church Street
"Next to Khazana Jewellery, St. Johns Road, Commercial Street, Bangalore",Lake N Bake,no,no,,0,Commercial Street,Bakery,Not Specified,"Bakery, Beverages",300.0,Desserts,Church Street
"115, Kapoor Building, MG Road, Bangalore",Arya Bhavan Sweets,no,no,3.2/5,6,MG Road,Sweet Shop,Not Specified,"Mithai, Street Food, North Indian",300.0,Desserts,Church Street
"Sapna Plaza, Infantry Road, Bangalore",Thanco's Natural Ice Cream,no,no,,0,Infantry Road,Dessert Parlor,Not Specified,"Ice Cream, Desserts",450.0,Desserts,Church Street
"Hyatt Centric MG Road 1/1, Swami Vivekananda Road, Ulsoor, Bangalore",The Corner - Hyatt Centric MG Road,no,no,,0,Ulsoor,Cafe,Not Specified,"Cafe, Desserts, Fast Food",1000.0,Desserts,Church Street
"Kasturba Road, Sampangi Rama Nagar, Near Lavelle Road, Bangalore",Batter Splatter,no,no,3.3/5,5,Lavelle Road,Bakery,Not Specified,Bakery,350.0,Desserts,Church Street
"64, 2nd Cross, Adams Avenue Building, Lakshman Mudaliar Street, Commercial Street, Bangalore",Just Baked,no,no,,0,Commercial Street,"Bakery, Quick Bites",Not Specified,"Bakery, Desserts",400.0,Desserts,Church Street
"239, Seppings Road, Shivajinagar, Bangalore",South Calcutta Sweets & Chat,no,no,,0,Shivajinagar,Quick Bites,Not Specified,"Street Food, Desserts",200.0,Desserts,Church Street
"Hotel Vellara, 126, Brigade Road, Bangalore",Oven Lovin',no,no,,0,Brigade Road,"Takeaway, Delivery",Not Specified,"Desserts, Bakery",300.0,Desserts,Church Street
"36, Richmond Road, Bangalore",FixMyNutrition,no,no,,0,Richmond Road,"Takeaway, Delivery",Not Specified,"Salad, Asian, Continental, Healthy Food",500.0,Desserts,Church Street
"3rd Floor, Garuda Mall, Brigade Road, Bangalore",Mist N Creams,no,no,,0,Brigade Road,Dessert Parlor,Not Specified,Ice Cream,400.0,Desserts,Church Street
"18, Craig Park Layout, Ashok Nagar, MG Road, Bangalore",Bakers 77,no,no,NEW,0,MG Road,"Bakery, Quick Bites",Not Specified,"Bakery, Fast Food",400.0,Desserts,Church Street
"Ground Floor, Near ICICI Atm, 5th Avenue Mall, brigade road, bangalore, Bengaluru",Bombay Kulfi,no,no,,0,Brigade Road,Dessert Parlor,Not Specified,"Desserts, Ice Cream",150.0,Desserts,Church Street
"Markham Road, Ashok Nagar, Brigade Road, Bangalore",Lassi Shop,yes,no,3.7/5,17,Brigade Road,Beverage Shop,Not Specified,"Beverages, Ice Cream",200.0,Desserts,Church Street
"14, B.D.A Complex, Austin Tower, Richmond Road, Bangalore",Rajeev Bakery & Juice,no,no,,0,Richmond Road,"Quick Bites, Bakery",Not Specified,"Fast Food, Desserts, Bakery",150.0,Desserts,Church Street
"The Ritz-Carlton, 99, Residency Road, Bangalore",Ganache - The Ritz-Carlton,no,no,3.9/5,49,Residency Road,Dessert Parlor,"Coffee, Cup Cake",Bakery,600.0,Desserts,Church Street
"121, Civil Station, Wood Street Junction, Brigade Road, Bangalore",Ibaco,yes,no,4.0/5,93,Brigade Road,Dessert Parlor,Italian Wonder,Desserts,300.0,Desserts,Church Street
"A-14, Basement, 132/5, Drvatha Plaza, Residency Road, Bangalore",Sweet Truth,yes,no,4.0/5,49,Residency Road,Delivery,"Cheesecake, Chocolate Decadence, Chocolate Fantasy, Chocolate Cake, Pancakes, Lava Cake, Chocolava Cake","Bakery, Desserts",500.0,Desserts,Church Street
"Shop GF-02, Ground Floor, Smart Avenue, 28, Residency Road, Bangalore",The Belgian Waffle Co.,yes,no,3.7/5,73,Residency Road,Dessert Parlor,Waffles,"Desserts, Beverages",350.0,Desserts,Church Street
"The Bohemian House, 5, Raja Ram Mohan Roy Road, Richmond Road, Bangalore",Third Wave Coffee Roasters @ The Bohemian House,no,no,,0,Richmond Road,Cafe,Not Specified,"Cafe, Continental, Desserts",800.0,Desserts,Church Street
"18, Ali Askar Road, Cunningham Road, Bangalore",Hammered,yes,yes,4.7/5,4677,Cunningham Road,"Pub, Cafe","Crispy Corn, Sangria, Chicken Satay, Masala Fries, Wood Fire Pizza, Pesto Pasta, Cocktails","North Indian, Thai, Japanese, Continental, Cafe",1300.0,Desserts,Church Street
"4, KH Road, Double Road, Shanti Nagar, Bangalore",The Bangalore Cafe,no,yes,4.2/5,478,Shanti Nagar,Casual Dining,"Pasta, Coffee, Chaat, Paneer Pizza, Tawa Pulav, Aloo Biryani, Paratha","Modern Indian, North Indian, Pizza, Continental, Beverages",800.0,Desserts,Church Street
"Wheelers Road, Cleveland Town, Frazer Town, Bangalore",Thom's Bakery,no,no,4.1/5,211,Frazer Town,"Bakery, Quick Bites","Plum Cake, Burgers, Sandwiches, Donut, Mutton Samosa, Sponge Cake, Baked Bread","Bakery, Fast Food",200.0,Desserts,Church Street
"The Hatworks Boulevard, 32, Cunningham Road, Bangalore",The Culinarium,no,no,4.0/5,23,Vasanth Nagar,"Cafe, Dessert Parlor",Not Specified,"Cafe, Desserts, Beverages",1100.0,Desserts,Church Street
"18/3, Ali Askar Road, Near Kingfisher Airlines Office, Cunningham Road, Bangalore",Dolci Desserts,yes,no,4.3/5,655,Cunningham Road,"Cafe, Dessert Parlor","Cappuccino, Eclair, Pizza, Coffee, Blueberry Cheesecake, Oreo Cheesecake, Tiramisu","Cafe, Desserts",750.0,Desserts,Church Street
"Shop 32, Hatworks Boulevard, Cunningham Road, Bangalore",L'inoui,yes,no,4.1/5,33,Cunningham Road,Dessert Parlor,Not Specified,Desserts,400.0,Desserts,Church Street
"41, Coles Road, Frazer Town, Bangalore",Karachi Bakery,no,no,NEW,0,Frazer Town,Bakery,Not Specified,"Bakery, Desserts",400.0,Desserts,Church Street
"14, OTC Road, Near Dharmaraya Swamy Temple, Nagarthpet Road, Majestic, Bangalore",Sri Rama Vilas Sweets,no,no,3.8/5,30,Majestic,Sweet Shop,Not Specified,"Mithai, Desserts",150.0,Desserts,Church Street
"110-A, Westminister Building, Cunningham Road, Bengaluru",Brownie Heaven,yes,no,4.2/5,34,Cunningham Road,Dessert Parlor,"Filter Coffee, Triple Chocolate, Brownie Chocolate, Vanilla Ice Cream, Brownie Shake, Tiramisu, Chocolate Shake","Desserts, Fast Food",300.0,Desserts,Church Street
"1, Lal Bagh Main Rd, Srinivas Colony, Sudhama Nagar, Shanti Nagar, Bangalore",Sri Jayalakshmi Bakery,no,no,3.3/5,5,Shanti Nagar,"Bakery, Quick Bites",Not Specified,"Bakery, Beverages",250.0,Desserts,Church Street
"45, Mission Road, Opp Sbi Bank, Shanti Nagar, Bangalore",Surya Bakery,no,no,3.5/5,21,Shanti Nagar,Bakery,Not Specified,Bakery,200.0,Desserts,Church Street
"27, St Johns Church Road, Frazer Town, Bangalore",Cool Corner Arun Ice Cream,no,no,3.5/5,8,Frazer Town,Dessert Parlor,Not Specified,"Desserts, Ice Cream",200.0,Desserts,Church Street
"3D, Wheeler Road, Frazer Town, Bangalore",KC Das - Sweet Bite,no,no,3.5/5,20,Frazer Town,"Sweet Shop, Quick Bites",Not Specified,"Mithai, Street Food",200.0,Desserts,Church Street
"46, 8th Main, Vasanth Nagar, Bangalore",Bangalore Masala House,yes,no,4.2/5,255,Vasanth Nagar,Cafe,"Peri Peri Chicken, Shikanji, Peri Peri Pizza, Burgers, Steak, Bun Maskas, Pasta","Cafe, Continental, Fast Food",500.0,Desserts,Church Street
"51, Cunningham Road, Bangalore",Shilpa Gulati's Desserts,no,no,3.6/5,17,Cunningham Road,Bakery,Not Specified,Bakery,600.0,Desserts,Church Street
"Cantonment Railway Station, Frazer Town, Bangalore",The Bakery World,no,no,3.2/5,5,Frazer Town,Bakery,Not Specified,"Bakery, Desserts",250.0,Desserts,Church Street
"24, Nanjappa Road, Shanti Nagar, Bangalore",Le ChÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ©ri,no,no,3.8/5,33,Shanti Nagar,Delivery,Not Specified,"Bakery, Desserts",350.0,Desserts,Church Street
"OTC Road, Near Corporation Circle, Majestic, Bangalore",Cake of the Day,no,no,3.5/5,19,Majestic,"Bakery, Dessert Parlor",Not Specified,Bakery,150.0,Desserts,Church Street
"Ground Floor, 6/1, Sheshadri Road, Race Course Road, Bangalore",Cafe Coffee Day,no,no,NEW,0,Race Course Road,Cafe,Not Specified,"Cafe, Fast Food",900.0,Desserts,Church Street
"5th Cross, Laxmi Road, Shanti Nagar, Bangalore",Sapna's Magic Oven,no,no,,0,Shanti Nagar,"Bakery, Beverage Shop",Not Specified,Bakery,200.0,Desserts,Church Street
"76/1, Mission Road, Subbayya Circle, Shanti Nagar, Bangalore",Hyper Scoop,yes,no,,0,Shanti Nagar,Dessert Parlor,Not Specified,"Desserts, Ice Cream",300.0,Desserts,Church Street
"99, 3rd Main Road, Hanumanthnagar, Banashankari, Bangalore",Sai Super Sandwich,yes,no,NEW,0,Banashankari,Quick Bites,Not Specified,"Sandwich, Beverages",200.0,Desserts,Church Street
"Radisson Blu, 1, Palace Road, Race Course Road, Bangalore",Tea and Wine Lounge,no,no,3.5/5,10,Race Course Road,Cafe,Not Specified,"Cafe, Tea, Desserts",800.0,Desserts,Church Street
"HM Eleganza, 31, Museum Road, Off MG Road, Church Street, Bangalore",Chutney Chang,yes,yes,4.2/5,4733,Church Street,Casual Dining,"Chaat, Chocolate Wonton, Apple Pie, Raj Kachori, Caramel Custard, Momos, Chicken Curry","North Indian, Chinese, BBQ",1500.0,Dine-out,Church Street
"24, Church Street, Bangalore",eat.fit,yes,yes,4.1/5,94,Church Street,Quick Bites,Biryani,"Healthy Food, North Indian, Biryani",300.0,Dine-out,Church Street
"19, Church Street, Bangalore",Brik Oven,no,no,4.6/5,2263,Church Street,Cafe,"Garlic Bread, Waffles, Brownie Shake, Cookie Monster Shake, Wood Fire Pizza, Big Bang Shake, Mushroom Pizza","Cafe, Pizza, Beverages",1100.0,Dine-out,Church Street
"46/1, Cobalt Building, Church Street, Bangalore",Church Street Social,yes,no,4.3/5,7547,Church Street,Lounge,"Paneer Biryani, Cocktails, Mocktails, Nachos, Taco Soup, Pork Ribs, Hot Dog","American, North Indian, Chinese, Finger Food, Momos",1500.0,Dine-out,Church Street
"14, 2nd Floor, Church Street, Bangalore",Oh! Calcutta,yes,yes,4.4/5,1112,Church Street,"Casual Dining, Bar","Fish, Curry Crab, Mocktails, Luchi, Kosha Mangsho, Sea Food, Daab Chingri","Bengali, Seafood",1200.0,Dine-out,Church Street
"30, Off MG Road, Opposite State Bank of India, Church Street, Bangalore",Carnatic,no,yes,4.2/5,169,Church Street,Casual Dining,"Thali, Andhra Chilli Chicken, Coconut Mousse, Raita, Kothu Paratha, Appam, Tender Coconut Payasam","South Indian, Kerala, Andhra, Biryani, Chettinad, Konkan, Mangalorean",1000.0,Dine-out,Church Street
"13, Museum Road, Church Street, Bangalore",The Only Place,yes,yes,4.2/5,2924,Church Street,Casual Dining,"Steak, Burgers, Meatballs, Apple Pie, Salads, Bruschettas, Chicken Sizzler","Italian, American, Steak, Continental, BBQ, Salad",1000.0,Dine-out,Church Street
"First Floor, 14, Church Street, Bangalore",Mainland China,yes,yes,4.5/5,1401,Church Street,"Casual Dining, Bar","Hunan Tofu, Noodles, Jumbo Prawns, Jasmine Tea, Chicken Momo, Cocktails, Momos","Chinese, Momos",1700.0,Dine-out,Church Street
"33, High Gates Hotel, Church Street, Bangalore",The White Room - Coffee & Kitchen,no,yes,4.0/5,1706,Church Street,Cafe,"Mushroom Quiche, Chicken Quiche, Coffee, Chocolate Milkshake, Caramel Frappe, Espresso, Tea","Cafe, Continental, American, Desserts",1000.0,Dine-out,Church Street
"2, Church Street, Bangalore",Matteo Coffea,no,no,4.4/5,2638,Church Street,Cafe,"Coffee, Pasta, Donut, Salads, Choco Brownie Shake, Tiramisu Cheesecake, Sandwiches",Cafe,600.0,Dine-out,Church Street
"31, Church Street, Bangalore",Bheema's,yes,no,4.0/5,781,Church Street,Casual Dining,"Thali, Mutton Biryani, Mutton Fry, Chilli Chicken, Chicken Biryani, Andhra Meal, Vegetable Biryani",Andhra,650.0,Dine-out,Church Street
"14, 3rd Floor, Church Street, Bangalore",Hoppipola,yes,no,4.3/5,1708,Church Street,Lounge,"Masala Peanuts, Cocktails, Paratha, Pizza, Pasta, Burgers, Brownie","Continental, Mediterranean, European",1300.0,Dine-out,Church Street
"1/A, Church Street, Bangalore",Easy Tiger,no,no,4.3/5,2244,Church Street,"Bar, Casual Dining","Peri Peri Chicken, Burgers, Cocktails, Beef Steak, Draught Beer, Chicken Sandwich, Peri Fries","Finger Food, Continental",1100.0,Dine-out,Church Street
"29, Church Street, Bangalore",Russh Gastropub,no,no,4.2/5,1289,Church Street,Pub,"Cocktails, Bruschettas, Beer, Tiramisu, Brownie, Chicken Popcorn, Nachos","Continental, Italian, Burger",1100.0,Dine-out,Church Street
"36, Off MG Road, Church Street, Bangalore",Empire Restaurant,yes,no,4.0/5,3213,Church Street,Casual Dining,"Paneer Tikka, Chicken Popcorn, Bheja Fry, Brain Fry, Ghee Rice, Jumbo Shawarma, Biryani","North Indian, Mughlai, South Indian, Chinese",750.0,Dine-out,Church Street
"42, Church Street, Bangalore",BLOW,yes,yes,4.3/5,945,Church Street,Cafe,"Mocktails, Pasta, Burgers, Sandwich, Salsa, Salad, Hazelnut Frappe","Cafe, Continental, American, Burger",750.0,Dine-out,Church Street
"56, Church Street, Bangalore",Anupam's Coast II Coast,yes,yes,4.1/5,853,Church Street,Casual Dining,"Murgh Ghee Roast, Sea Food, Neer Dosa, Fish, Prawn Ghee Roast, Appam, Ghee Roast Paneer","Seafood, Mangalorean, North Indian, Chinese",1400.0,Dine-out,Church Street
"46, Church Street, Bangalore",Smally's Resto Cafe,yes,no,4.3/5,3548,Church Street,Cafe,"Burgers, Snicker Shake, Thick Shakes, Pasta, Chicken Wings, Peri Fries, Peri Peri Chicken Burger","Cafe, Italian, Burger, American, Steak",650.0,Dine-out,Church Street
"High Gates Hotel, 33, Church Street, Bangalore",Roomali,no,yes,4.0/5,173,Church Street,Casual Dining,"Tandoori Chicken, Rumali Roti, Butter Chicken, Malai Kofta, Chicken Curry, Palak Paneer, Chicken Biryani",North Indian,1300.0,Dine-out,Church Street
"86, Spencers Building, Church Street, Bangalore",Coconut Grove,no,yes,3.9/5,681,Church Street,"Casual Dining, Bar","Beer, Pepper Chicken, Prawn Curry, Appam, Fry Prawns, Chicken Chettinad, Idiyappam","South Indian, Chettinad, Kerala, Seafood",1200.0,Dine-out,Church Street
"9/3, Prestige Pearl House, Museum Road, Church Street, Bangalore",Little Green Cafe,no,no,4.3/5,788,Church Street,"Cafe, Casual Dining","Spaghetti, Mezze Platter, Bombay Sandwich, Tomato Ragout, Mushroom Sandwich, Thai Green Curry, Tea","Cafe, Healthy Food, Salad, Continental, Beverages, Italian, Sandwich",900.0,Dine-out,Church Street
"Shop 19, Ground Floor, Kalpak Arcade, Church Street, Bangalore",Oye Amritsar,yes,yes,4.1/5,452,Church Street,Casual Dining,"Lassi, Aloo Paratha, Jalebi, Palak Paneer, Cheese Naan",North Indian,600.0,Dine-out,Church Street
"G 35A, Ground Floor, Brigade Gardens, Off Brigade Road, Church Street, Bangalore",Qissa Khawani,yes,no,4.4/5,319,Church Street,Casual Dining,"Lassi, Paratha, Chicken Tikka, Mutton Pulao, Dal Makhani, Garlic Naan, Kheer","North Indian, Mughlai",800.0,Dine-out,Church Street
"1A, Church Street, Bangalore",Wolf'ish,yes,no,4.1/5,461,Church Street,Cafe,"Burgers, Fries, Mojito, Bbq Chicken Pizza, Pasta, Potato Wedges, Peri Peri Chicken","Cafe, American, Italian, Pizza, Burger",700.0,Dine-out,Church Street
"22, Amoeba Complex, Church Street, Bangalore",20 Feet High,yes,yes,4.0/5,933,Church Street,"Casual Dining, Bar","Burgers, Mocktails, Pasta, Cocktails, Beef Steak, Lunch Buffet, Chicken Steak","American, Continental, Steak, Salad",1000.0,Dine-out,Church Street
"52/2, Sujay's Pride, Church Street, Bangalore",Somilan Steak House,no,no,4.3/5,527,Church Street,Casual Dining,"Salads, Beef Steak, Pork Chops, Crispy Pork, Wine, Chicken Salad, Pork Ribs","North Eastern, Asian, Naga, Steak, Momos",800.0,Dine-out,Church Street
"Prestige RR 55/1 &55/9 2nd Floor Church Street, Bangalore",Chugg,no,yes,3.9/5,746,Church Street,Pub,"Beer, Butter Garlic Prawns, Potato Wedges, Nachos, Pasta, Cocktails, Burgers","Finger Food, Continental, Asian, North Indian",1500.0,Dine-out,Church Street
"1, 1st Floor, Church Street, Bangalore",Ayda Persian Kitchen,yes,no,3.9/5,224,Church Street,Casual Dining,"Roti, Naan, Butter Chicken, Biryani, Saffron Rice, Mutton Kebab, Lassi","North Indian, Iranian",950.0,Dine-out,Church Street
"G-005, City Centre, 28/4, Church Street, Bangalore",Tata Cha,yes,no,3.9/5,67,Church Street,"Beverage Shop, Cafe","Chai, Ginger Tea, Poha, Coffee, Bun Maskas","Cafe, Tea, North Indian",500.0,Dine-out,Church Street
"22, Amoeba Complex, Church Street, Bangalore",Cafe 22,no,no,3.0/5,11,Church Street,Cafe,Not Specified,"Cafe, Fast Food",700.0,Dine-out,Church Street
"86, Spencers Building, Church Street, Bangalore",Coco Grove Beer Cafe,no,no,3.8/5,152,Church Street,Casual Dining,"Sandwiches, Burgers, Lamb Burger, Chicken Pepper Steak, Club Sandwich, Draught Beer, Hot Dog",Continental,800.0,Dine-out,Church Street
"Maya International Hotel, 52/1, Church Street, Bangalore",Alibi - Maya International Hotel,no,no,1.8/5,224,Church Street,Casual Dining,Dj,"North Indian, Continental, Chinese",1200.0,Dine-out,Church Street
"6/A, Church Street, Bangalore",Funjabi,yes,no,3.5/5,140,Church Street,Casual Dining,"Mango Lassi, Butter Chicken, Manchurian, Dehati Chicken, Paneer Lababdar, Chilli Chicken, Palak Paneer",North Indian,600.0,Dine-out,Church Street
"Oxford Inn, 17/18, Museum Road, Opposite St. Joseph School, Residency Road, Bangalore",Lotus Royal Cuisine,no,no,3.3/5,13,Church Street,Casual Dining,Not Specified,"North Indian, Chinese",750.0,Dine-out,Church Street
"16-113, Haridevpur, Shanthala Nagar, Ashok Nagar, Church Street, Bangalore",Green Paprika,no,no,3.3/5,7,Church Street,Casual Dining,Not Specified,"North Indian, South Indian, Continental",1000.0,Dine-out,Church Street
"1st Floor, 30, Off M G Road, Opposite S.B.I. Bank, Church Street",Pizza Hut,yes,no,3.7/5,39,Church Street,Casual Dining,Not Specified,"Pizza, Fast Food",750.0,Dine-out,Church Street
"48, Church Street, Bangalore",C Sharp Kitchen,yes,no,3.4/5,50,Church Street,Casual Dining,"Paratha, Tea, Pasta, Omelette, Rolls, Sandwich","North Indian, Chinese, European",600.0,Dine-out,Church Street
"Hotel High Gates, 33, Church Street",Mandarin Box,no,no,4.0/5,79,Church Street,Quick Bites,"Momos, Noodles, Chop Suey",Chinese,500.0,Dine-out,Church Street
"19, Ground Floor, Church Street, Bangalore",Indian Coffee House,no,no,3.9/5,1218,Church Street,Quick Bites,"Mutton Cutlets, Filter Coffee, Masala Dosa, Omelette, Vada, Scrambled Eggs, Hot Coffee",South Indian,200.0,Dine-out,Church Street
"16/3, Phoenix Arcade, Ground Floor, Shanthala Nagar, Ashok Nagar, Church Street, Bangalore",99 Pancakes,yes,no,4.1/5,41,Church Street,Dessert Parlor,Nutella Pancakes,"Desserts, Ice Cream",150.0,Dine-out,Church Street
"50/1, Haridevpur, Shantala Nagar, Ashok Nagar, Church Street, Bangalore",The London Shakes,yes,no,,0,Church Street,Quick Bites,Not Specified,"Pizza, Burger, Coffee, Beverages",500.0,Dine-out,Church Street
"2, Church Street, Bangalore",Mel's Korner,no,no,3.8/5,95,Church Street,Quick Bites,"Shawarma, Burgers, Beef Burger, Potato Wedges, Vegetable Noodles, Cheese Fatayer, Garlic Fries",Fast Food,500.0,Dine-out,Church Street
"48, Triump Tower, Church Street, Bangalore",Desi Vdesi,yes,no,3.9/5,202,Church Street,Quick Bites,"Paratha, Momos, Lassi, Sandwiches, Burgers, Nachos, Potato Wedges","Fast Food, North Indian, Rolls",250.0,Dine-out,Church Street
"48, Triumph Towers, Church Street, Bangalore",Donne Biriyani Mane,yes,no,3.5/5,62,Church Street,Quick Bites,"Donne Biryani, Mutton Biryani","Biryani, Kebab",400.0,Dine-out,Church Street
"Shop 44, SB Towers, Church Street, MG Road, Bangalore",Vasudev Adiga's,no,no,3.7/5,58,Church Street,Quick Bites,"Masala Dosa, Filter Coffee","South Indian, North Indian, Chinese, Street Food",250.0,Dine-out,Church Street
"48, Triumph Towers, Church Street, Bangalore",Kaati Zone,yes,no,3.1/5,163,Church Street,Quick Bites,"Rolls, Chicken Tikka Roll, Cheese Roll","Fast Food, Biryani, Rolls",350.0,Dine-out,Church Street
"Barton Centre, 84, MG Road, Bangalore",The 13th Floor,no,yes,4.4/5,4582,MG Road,Lounge,"Cocktails, Lasagne, Martini, Mocktails, Mutton Pepper, Long Island Iced Tea, Mojito","Asian, North Indian, Thai",1700.0,Dine-out,Church Street
"Uber Level, 16th Floor, UB City, Vittal Mallya Road, Lavelle Road, Bangalore",Skyye,no,yes,4.2/5,3119,Lavelle Road,Lounge,"Cocktails, Long Island Iced Tea, Mojito, Peri Peri Chicken, Mocktails, Chicken Satay, Beer",Continental,2500.0,Dine-out,Church Street
"67 & 68, Brigade Solitaire, Opposite to Advaith Hyundai, Residency Road, Bangalore",Communiti,no,no,4.7/5,3920,Residency Road,"Microbrewery, Casual Dining","Pizza, Cocktails, Peri Peri Chicken, Mocktails, Craft Beer, Pasta, Nachos","Continental, BBQ, Salad",1500.0,Dine-out,Church Street
"16, Wood Street, Ashok Nagar, Richmond Road, Bangalore",Olive Bar And Kitchen,no,yes,4.5/5,2198,Richmond Road,Casual Dining,"Salads, Cocktails, Hazelnut Cake, Pepperoni Pizza, Mocktails, Calamari, Risotto","Mediterranean, European, Salad",1800.0,Dine-out,Church Street
"Barton Center, 84, 13th Floor, MG Road, Bangalore",Ebony,yes,yes,4.3/5,3130,MG Road,Casual Dining,"Appam, Khao Suey, Rabri, Chicken Biryani, Kebab Platter, Prawn, Pad Thai","North Indian, South Indian",1500.0,Dine-out,Church Street
"8, 3rd Floor, Allied Grande Plaza, Diagonally Opposite Garuda Mall, Magrath Road, Brigade Road, Bangalore",Arbor Brewing Company,no,yes,4.5/5,8382,Brigade Road,"Pub, Microbrewery","Kamikaze, Long Island Iced Tea, Pizza, Hefeweizen, Craft Beer, Cocktails, Belgian Brew Beer","American, Continental, Salad",2000.0,Dine-out,Church Street
"909 SKAV, 21st floor, Lavelle Road, Bangalore",KazÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ©,no,yes,4.4/5,864,Lavelle Road,Fine Dining,"Cocktails, Sushi, Salmon, Martini, Tempura Prawns, Chicken Gyoza, Ramen","Asian, Japanese, Thai",3000.0,Dine-out,Church Street
"JW Marriott, 24/1, Vittal Mallya Road, Lavelle Road, Bangalore",JW Kitchen - JW Marriott Bengaluru,no,yes,4.4/5,2119,Lavelle Road,Fine Dining,"Pasta, Breakfast Buffet, Lasagne, Salads, Chocolate Cake, Chicken Soup, Seafood Salad","North Indian, Continental, Italian",2200.0,Dine-out,Church Street
"2nd Floor, UB City Mall, Vittal Mallya Road, Lavelle Road, Bangalore",Shiro,yes,yes,4.4/5,2229,Lavelle Road,"Fine Dining, Lounge","Sushi, Dumplings, Sea Food, Chocolate Volcano, Lamb, Sunday Brunch, Chicken Yakitori","Japanese, Asian",3000.0,Dine-out,Church Street
"44/1, Residency Road, Bangalore",Nagarjuna,no,no,4.3/5,1772,Residency Road,Casual Dining,"Mutton Biryani, Chicken Biryani, Hyderabadi Biryani, Andhra Biryani, Mutton Keema Balls, Thali, Raita","Andhra, Biryani",800.0,Dine-out,Church Street
"7/1, Victoria Road, Richmond Town Area, Richmond Town, Bangalore",Hyderabad Biryaani House,no,no,4.3/5,1352,Richmond Road,Casual Dining,"Hyderabadi Biryani, Haleem, Chicken Biryani, Andhra Biryani, Mutton Biryani, Ghee Rice, Butter Chicken","Biryani, North Indian, Chinese",550.0,Dine-out,Church Street
"1 MG Mall, MG Road, Bangalore",Yauatcha,no,yes,4.6/5,2341,MG Road,Fine Dining,"Dumplings, Noodles, Cocktails, Mocktails, Mango Mascarpone Gateau, Chocolate Hazelnut Mousse, Macaroon","Chinese, Asian, Cantonese, Tea",2800.0,Dine-out,Church Street
"40, Opposite LIC Building, Off MG Road, St. Marks Road, Bangalore",Hard Rock Cafe,no,yes,4.5/5,5265,St. Marks Road,"Casual Dining, Bar","Burgers, Cocktails, Legendary Hrc Burger, Nachos, Sandwiches, Bloody Mary, Mocktails","American, BBQ",2500.0,Dine-out,Church Street
"Level 5, Eva Mall, Brigade Road, Bangalore",ShakesBierre,no,yes,4.4/5,264,Brigade Road,"Microbrewery, Casual Dining","Cocktails, Pizza, Mocktails, Sweet Yogurt, Nachos, Karela Chaat, Burgers","Asian, Continental, European, North Indian",1500.0,Dine-out,Church Street
"8, 2nd Floor, Allied Grande Plaza, Diagonally Opposite Garuda Mall, Magrath Road, Brigade Road, Bangalore",NoLimmits Lounge and Club,yes,yes,4.0/5,2112,Brigade Road,Club,"Salads, Chicken Bbq Wings, Sandwiches, Pasta, Biryani, Pizza, Cocktails","Chinese, Continental, North Indian, Burger, Pizza",2000.0,Dine-out,Church Street
"202, Level 2, UB City, Vittal Mallya Road, Lavelle Road, Bangalore",Farzi Cafe,no,no,4.4/5,2395,Lavelle Road,"Casual Dining, Microbrewery","Appletini, Lamb Tacos, Cocktails, Martini, Stout, Wheat Beer, Sangria",Modern Indian,1500.0,Dine-out,Church Street
"16/3, Commissariat Road, Brigade Road, Bangalore",The Permit Room,no,no,4.5/5,1576,Brigade Road,"Casual Dining, Bar","Cocktails, Chicken Curry, Beer, Watermelon Mojito, Bbq Mushroom, Kokum Sharbat, Brain Fry",South Indian,1500.0,Dine-out,Church Street
